split,label,example_idx,turn,feature_30868,feature_11679,feature_9008,feature_31037,feature_20574,feature_32154,feature_22275,feature_14298,feature_27197,feature_6740
fail,0,28,2,0.0,0.0,0.028154464438557625,0.0,0.014870370738208294,0.015265784226357937,0.019181404262781143,0.0,0.029684487730264664,0.04336149990558624
fail,0,29,1,0.013200066983699799,0.01451108232140541,0.0,0.01452681329101324,0.009948018938302994,0.011040202341973782,0.0,0.0,0.0,0.0629458948969841
fail,0,29,2,0.0,0.0,0.02397865243256092,0.0,0.024524489417672157,0.02593246102333069,0.0,0.0,0.0,0.07212980091571808
fail,0,30,1,0.02144312858581543,0.023992417380213737,0.0,0.023876331746578217,0.035800643265247345,0.018069125711917877,0.0,0.0,0.0,0.016508787870407104
fail,0,30,2,0.0,0.0,0.011795426718890667,0.0,0.012150621972978115,0.012948216870427132,0.0,0.0,0.012939414009451866,0.08414668589830399
fail,0,31,1,0.023432420566678047,0.024744469672441483,0.0,0.024509090930223465,0.03693253546953201,0.018626486882567406,0.0,0.0,0.01937752217054367,0.10668818652629852
fail,0,31,2,0.0,0.0,0.025713425129652023,0.0,0.05754197761416435,0.05242101103067398,0.0,0.0,0.0,0.07737551629543304
fail,0,32,1,0.020427918061614037,0.022194411605596542,0.0,0.02212837152183056,0.03340611979365349,0.01680956780910492,0.05197865143418312,0.0,0.0,0.04829898104071617
fail,0,32,2,0.0,0.0,0.017639387398958206,0.0,0.01774570532143116,0.03537807986140251,0.0,0.0,0.019512014463543892,0.0901419073343277
fail,0,33,1,0.014963304623961449,0.015474261716008186,0.0,0.01572076417505741,0.010589193552732468,0.011888913810253143,0.011867005378007889,0.0,0.0,0.05673117935657501
fail,0,33,2,0.0,0.0,0.015278369188308716,0.0,0.015004688873887062,0.030122462660074234,0.0,0.0,0.014668417163193226,0.059759609401226044
fail,0,34,1,0.014238597825169563,0.015335943549871445,0.012247733771800995,0.015566796995699406,0.010431014001369476,0.011578366160392761,0.0,0.0,0.0,0.03327285125851631
fail,0,34,2,0.0,0.0,0.020780270919203758,0.0,0.04602198675274849,0.041888438165187836,0.0,0.0,0.020552437752485275,0.0633007138967514
fail,0,35,1,0.019254446029663086,0.019742438569664955,0.013319135643541813,0.01956968940794468,0.013264107517898083,0.014771176502108574,0.016222871840000153,0.013358034193515778,0.0,0.04112030565738678
fail,0,35,2,0.0,0.02279379963874817,0.035965315997600555,0.0,0.03899878263473511,0.03904743492603302,0.0,0.0,0.017162596806883812,0.12971819937229156
fail,0,36,1,0.021115604788064957,0.02386166714131832,0.0,0.02364981174468994,0.03511884808540344,0.017896361649036407,0.02613159641623497,0.0,0.0,0.0510527528822422
fail,0,36,2,0.0,0.0,0.03292923420667648,0.0,0.03209676966071129,0.0313248373568058,0.0521271638572216,0.0,0.016172904521226883,0.06360836327075958
fail,0,37,1,0.0205601304769516,0.022309090942144394,0.03280237317085266,0.021302644163370132,0.014249542728066444,0.016055306419730186,0.015365010127425194,0.0,0.015347400680184364,0.03042684867978096
fail,0,37,2,0.0,0.0,0.018290042877197266,0.0,0.03963267803192139,0.03717260807752609,0.018958155065774918,0.0,0.0,0.1117343157529831
fail,0,38,1,0.02429894730448723,0.026814047247171402,0.0,0.026674874126911163,0.038312651216983795,0.020035378634929657,0.0,0.0,0.0,0.03706742823123932
fail,0,38,2,0.0,0.0,0.05084671825170517,0.0,0.053378332406282425,0.054724205285310745,0.0,0.0,0.05391164869070053,0.10488501936197281
fail,0,39,1,0.018601728603243828,0.018699150532484055,0.0,0.01875767484307289,0.012859114445745945,0.01439351961016655,0.014487281441688538,0.0,0.0,0.08184099942445755
fail,0,39,2,0.0,0.0,0.01216922327876091,0.0,0.025157708674669266,0.024657726287841797,0.026709631085395813,0.0,0.0,0.10913170874118805
fail,0,40,1,0.023902179673314095,0.02545633539557457,0.0,0.025359531864523888,0.03651365637779236,0.019213465973734856,0.0,0.0,0.0,0.017494386062026024
fail,0,40,2,0.0,0.0,0.021461665630340576,0.0,0.021251652389764786,0.044355083256959915,0.0,0.0,0.0,0.15683157742023468
fail,0,41,1,0.006875158287584782,0.007826066575944424,0.011548483744263649,0.00762514490634203,0.010640155524015427,0.005495422054082155,0.0,0.0,0.033376749604940414,0.021193373948335648
fail,0,41,2,0.0,0.0,0.03418504446744919,0.0,0.01823534443974495,0.018224971368908882,0.0177732165902853,0.0,0.037258125841617584,0.14198540151119232
fail,0,42,1,0.02554665505886078,0.02859627641737461,0.0,0.02884412556886673,0.01968681626021862,0.021816767752170563,0.0,0.0,0.020251641049981117,0.06192891299724579
fail,0,42,2,0.0,0.0,0.01798580214381218,0.0,0.03930721804499626,0.038845811039209366,0.0,0.0,0.018553631380200386,0.07226989418268204
fail,0,43,1,0.011152663268148899,0.0,0.013925835490226746,0.0,0.01560957357287407,0.007976838387548923,0.023363571614027023,0.0,0.0,0.05237095057964325
fail,0,43,2,0.0,0.0,0.02352013811469078,0.0,0.05261620506644249,0.05032853037118912,0.024138404056429863,0.0,0.025287965312600136,0.14136028289794922
fail,0,44,1,0.014222978614270687,0.031883202493190765,0.0,0.014741537161171436,0.022810939699411392,0.0110683748498559,0.0,0.0,0.0,0.06483003497123718
